Ablennes hians
Atherinomorus forskalii
Bos primigenius
Bothus pantherinus
Calotomus spinidens
Caranx ignobilis
Cephalopholis sonnerati
Cryptocentroides insignis
Cryptocentrus caeruleomaculatus
Cyclichthys orbicularis
Epinephelus areolatus
Epinephelus maculatus
Gerres oyena
Gnatholepis anjerensis
Gymnothorax richardsonii
Hemiramphus far
Hemiramphus lutkei
Hippocampus kelloggi
Homo sapiens
Istigobius goldmanni
Leptoscarus vaigiensis
Lethrinus atkinsoni
Lethrinus harak
Lethrinus laticaudis
Lethrinus nebulosus
Lutjanus argentimaculatus
Lutjanus fulviflamma
Novaculoides macrolepidotus
Oplopomus oplopomus
Oxycheilinus bimaculatus
Oxyporhamphus similis
Parma oligolepis
Parupeneus barberinus
Parupeneus indicus
Parupeneus multifasciatus
Platax orbicularis
Platax teira
Plectorhinchus lessonii
Plotosus japonicus
Pristipomoides typus
Pseudobalistes flavimarginatus
Saurida gracilis
Scomberomorus sinensis
Sebastapistes fowleri
Siganus fuscescens
Siganus spinus
Spratelloides gracilis
Strongylura incisa
Tylosurus acus
Xiphias gladius

