Names	total	elements
Site A Site B Site C	5	Lutjanus fulviflamma
		Siganus fuscescens
		Lethrinus nebulosus
		Lethrinus harak
		Siganus spinus
Site A Site B	13	Percilia irwini
		Pomatomus saltatrix
		Pristicon trimaculatus
		Strongylura incisa
		Ablennes hians
		Tylosurus acus
		Scomberesox saurus
		Atherina boyeri
		Parma oligolepis
		Pristipomoides typus
		Acanthochromis polyacanthus
		Pterocaesio marri
		Tylosurus crocodilus
Site A Site C	7	Atherinomorus forskalii
		Atherinomorus lacunosus
		Leptoscarus vaigiensis
		Oplopomus oplopomus
		Oxycheilinus bimaculatus
		Cyclichthys orbicularis
		Hippocampus kelloggi
Site B Site C	3	Calotomus spinidens
		Gnatholepis anjerensis
		Parupeneus indicus
Site A	8	Plotosus japonicus
		Atherinomorus regina
		Cephalopholis sonnerati
		Hypoatherina lunata
		Atherinomorus insularum
		Bothus pantherinus
		Parma microlepis
		Atherinomorus sp
Site B	53	Plectorhinchus picus
		Epinephelus miliaris
		Thunnus alalunga
		Lethrinus atkinsoni
		Caranx lugubris
		Macquaria australasica
		Tetragonurus cuvieri
		Parupeneus barberinus
		Gerres oyena
		Exyrias bellissimus
		Epinephelus chlorostigma
		Parachaeturichthys polynema
		Lethrinus laticaudis
		Lutjanus argentimaculatus
		Epinephelus maculatus
		Lethrinus xanthochilus
		Hemiramphus far
		Callogobius sclateri
		Lutjanus sp
		Saurida normani
		Plectorhinchus vittatus
		Etelis coruscans
		Monodactylus argenteus
		Siganus woodlandi
		Istigobius goldmanni
		Epinephelus cyanopodus
		Plectorhinchus lessonii
		Plectorhinchus lineatus
		Psenes maculatus
		Siganus argenteus
		Scomberomorus sinensis
		Gnatholepis cauerensis
		Cryptocentrus caeruleomaculatus
		Lesueurigobius friesii
		Katsuwonus pelamis
		Callogobius snelliusi
		Amphiprion melanopus
		Platax orbicularis
		Epinephelus areolatus
		Epinephelus bleekeri
		Saurida gracilis
		Caranx ignobilis
		Cryptocentrus pavoninoides
		Platax pinnatus
		Oxyporhamphus similis
		Cryptocentroides insignis
		Plectorhinchus chaetodonoides
		Hemiramphus lutkei
		Parupeneus ciliatus
		Lethrinus microdon
		Oxyporhamphus convexus
		Platax teira
		Lethrinus haematopterus
Site C	11	Lethrinus obsoletus
		Xiphias gladius
		Lutjanus ophuysenii
		Tetrapturus sp
		Novaculoides macrolepidotus
		Sebastapistes sp
		Pseudobalistes flavimarginatus
		Gymnothorax richardsonii
		Spratelloides gracilis
		Parupeneus multifasciatus
		Lutjanus lutjanus
