Names	total	elements
Site A Site B Site C	5	Homo sapiens
		Lutjanus fulviflamma
		Siganus fuscescens
		Lethrinus harak
		Siganus spinus
Site A Site B	1	Parma oligolepis
Site A Site C	1	Oxycheilinus bimaculatus
Site B Site C	1	Gnatholepis anjerensis
Site A	9	Atherinomorus forskalii
		Plotosus japonicus
		Bothus pantherinus
		Strongylura incisa
		Pristipomoides typus
		Cephalopholis sonnerati
		Ablennes hians
		Oplopomus oplopomus
		Tylosurus acus
Site B	23	Scomberomorus sinensis
		Cryptocentrus caeruleomaculatus
		Lethrinus nebulosus
		Platax orbicularis
		Lethrinus atkinsoni
		Epinephelus areolatus
		Saurida gracilis
		Parupeneus barberinus
		Gerres oyena
		Lethrinus laticaudis
		Lutjanus argentimaculatus
		Epinephelus maculatus
		Caranx ignobilis
		Hemiramphus far
		Calotomus spinidens
		Bos primigenius
		Cryptocentroides insignis
		Oxyporhamphus similis
		Istigobius goldmanni
		Hemiramphus lutkei
		Parupeneus indicus
		Plectorhinchus lessonii
		Platax teira
Site C	10	Pseudobalistes flavimarginatus
		Sebastapistes fowleri
		Gymnothorax richardsonii
		Spratelloides gracilis
		Cyclichthys orbicularis
		Xiphias gladius
		Leptoscarus vaigiensis
		Parupeneus multifasciatus
		Novaculoides macrolepidotus
		Hippocampus kelloggi
