Names	total	elements
Catch UVS eDNA	11	Epinephelus maculatus
		Lethrinus nebulosus
		Lethrinus harak
		Parupeneus indicus
		Lutjanus fulviflamma
		Gerres oyena
		Parupeneus barberinus
		Leptoscarus vaigiensis
		Novaculoides macrolepidotus
		Bothus pantherinus
		Hemiramphus lutkei
Catch UVS	8	Plectorhinchus gaterinus
		Pampus minor
		Scarus ghobban
		Anguilla mossambica
		Cheilio inermis
		Lethrinus lentjan
		Siganus sutor
		Archamia fucata
Catch eDNA	4	Plectorhinchus lessonii
		Lutjanus argentimaculatus
		Hemiramphus far
		Lethrinus microdon
UVS eDNA	9	Plectorhinchus picus
		Plectorhinchus vittatus
		Parupeneus multifasciatus
		Platax teira
		Lethrinus obsoletus
		Atherinomorus forskalii
		Ablennes hians
		Platax orbicularis
		Cyclichthys orbicularis
Catch	6	Lethrinus mahsena
		Scolopsis ghanam
		Glossogobius aureus
		Sargocentron spiniferum
		Lethrinus erythrocanthus
		Upeneus tragula
UVS	15	Chaetodon melannotus
		Sillago sihama
		Plotosus lineatus
		Dunckerocampus dactyliophorus
		Plectorhinchus schotaf
		Portunus pelagicus
		Trachinocephalus myops
		Mugil cephalus
		Pteragogus  flagellifer
		Chanos chanos
		Amphiprion clarkii
		Gymnothorax meleagris
		Diagramma pictum
		Parupeneus macronemus
		Monodactylus falciformis
eDNA	76	Epinephelus miliaris
		Plotosus japonicus
		Lethrinus atkinsoni
		Atherinomorus regina
		Exyrias bellissimus
		Epinephelus chlorostigma
		Parachaeturichthys polynema
		Xiphias gladius
		Lethrinus laticaudis
		Pristicon trimaculatus
		Strongylura incisa
		Lethrinus xanthochilus
		Lutjanus sp
		Saurida normani
		Calotomus spinidens
		Etelis coruscans
		Oplopomus oplopomus
		Epinephelus cyanopodus
		Tylosurus acus
		Plectorhinchus lineatus
		Psenes maculatus
		Gnatholepis cauerensis
		Pseudobalistes flavimarginatus
		Hypoatherina lunata
		Lesueurigobius friesii
		Callogobius snelliusi
		Amphiprion melanopus
		Atherinomorus insularum
		Spratelloides gracilis
		Epinephelus bleekeri
		Parma microlepis
		Caranx ignobilis
		Pristipomoides typus
		Acanthochromis polyacanthus
		Platax pinnatus
		Oxyporhamphus similis
		Cryptocentroides insignis
		Plectorhinchus chaetodonoides
		Pterocaesio marri
		Siganus spinus
		Lutjanus lutjanus
		Percilia irwini
		Thunnus alalunga
		Pomatomus saltatrix
		Caranx lugubris
		Macquaria australasica
		Tetragonurus cuvieri
		Siganus fuscescens
		Lutjanus ophuysenii
		Cephalopholis sonnerati
		Atherinomorus lacunosus
		Callogobius sclateri
		Monodactylus argenteus
		Istigobius goldmanni
		Tetrapturus sp
		Siganus woodlandi
		Sebastapistes sp
		Scomberesox saurus
		Oxycheilinus bimaculatus
		Siganus argenteus
		Scomberomorus sinensis
		Cryptocentrus caeruleomaculatus
		Katsuwonus pelamis
		Gymnothorax richardsonii
		Atherina boyeri
		Epinephelus areolatus
		Saurida gracilis
		Parma oligolepis
		Atherinomorus sp
		Cryptocentrus pavoninoides
		Gnatholepis anjerensis
		Parupeneus ciliatus
		Tylosurus crocodilus
		Oxyporhamphus convexus
		Lethrinus haematopterus
		Hippocampus kelloggi
